jday,mjd,filter,instrument,system,obsmag,obsmagerr,mag,magerr,limmag,fnu,fnuerr,amag,amagerr,snr,source
2458218.839375,58218.3393,r,P48+ZTF,PS1,,0.0,,0.0,20.354683452552432,-3.5845297141766607e-29,3.4183908507647305e-29,,0.0,-1.16644769301295,forced
2458218.8621875,58218.3621,r,P48+ZTF,PS1,,0.0,,0.0,20.46598345255243,-1.1332805314240288e-29,3.192407913110042e-29,,0.0,-0.394887921918073,forced
2458218.8880324,58218.388,r,P48+ZTF,PS1,26.448339963572487,31.331708320153197,26.414823416124918,31.331708320153197,20.65378345255243,9.864399069345128e-31,2.8466258474190205e-29,-10.82517658387509,31.331708320153197,0.0385473960718251,forced
2458218.9073611,58218.4073,r,P48+ZTF,PS1,22.522302072330927,0.8542843245944151,22.48878552488336,0.854284324594415,20.62098345255243,3.668476911254456e-29,2.886449127041282e-29,-14.751214475116644,0.854284324594415,1.41376323485421,forced
2458218.9309144,58218.4309,r,P48+ZTF,PS1,22.479044538360807,0.8537485140505886,22.445527990913234,0.8537485140505887,20.582983452552426,3.817585774116724e-29,3.0018877215565337e-29,-14.79447200908677,0.8537485140505887,1.41465050930944,forced
2458218.9513310003,58218.4513,r,P48+ZTF,PS1,,0.0,,0.0,20.59298345255243,-2.4683133626574403e-29,2.861293642055366e-29,,0.0,-0.9596053611076568,forced
2458219.8641667003,58219.3641,r,P48+ZTF,PS1,22.986336927082377,1.3726109196970313,22.952820379634808,1.3726109196970313,20.581483452552426,2.392609639665075e-29,3.024788252970037e-29,-14.287179620365196,1.3726109196970313,0.879896664737612,forced
2458219.8842245,58219.3842,r,P48+ZTF,PS1,,0.0,,0.0,20.592683452552432,-5.450876201846923e-29,3.21472284161213e-29,,0.0,-1.88615588797234,forced
2458219.8861111,58219.3861,r,P48+ZTF,PS1,,0.0,,0.0,20.511683452552433,-3.0226730472188703e-30,3.300347025282594e-29,,0.0,-0.101879397291137,forced
2458219.9041782003,58219.4041,r,P48+ZTF,PS1,,0.0,,0.0,20.43898345255243,-4.207077444891648e-29,3.581099484371391e-29,,0.0,-1.3068294764494,forced
2458219.9051157003,58219.4051,r,P48+ZTF,PS1,22.719210622548577,1.3628706343941182,22.685694075101004,1.3628706343941182,20.356083452552433,3.060006647668769e-29,3.841074086764562e-29,-14.554305924899,1.3628706343941182,0.886185188633672,forced
2458219.9267361,58219.4267,r,P48+ZTF,PS1,,0.0,,0.0,20.27468345255243,-5.872654308497212e-29,4.5416325404665847e-29,,0.0,-1.43839195444676,forced
2458219.9422338,58219.4422,r,P48+ZTF,PS1,22.278236260267143,1.273578505806083,22.244719712819577,1.273578505806083,19.983183452552424,4.5931657195859134e-29,5.387825429818012e-29,-14.995280287180426,1.273578505806083,0.948316703460241,forced
2458219.9733565,58219.4733,r,P48+ZTF,PS1,,0.0,,0.0,20.28408345255243,-4.214347060208865e-30,4.212640807321245e-29,,0.0,-0.111283472380308,forced
2458222.0913810004,58221.59138099999,o,ATLAS,ATLAS,-22.427,4.5,,0.0,19.18991229437132,-4.1123973780113237e-29,1.850578820105096e-28,,0.0,-0.2222222222222222,forced
